Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
MaxLvl	99	99	99	99	99	99	99	10
0	0	0	0	0	0	0	0	1024
1	100	100	100	100	100	100	100	1024
2	200	200	200	200	200	200	200	1024
3	300	300	300	300	300	300	300	1024
4	400	400	400	400	400	400	400	1024
5	500	500	500	500	500	500	500	1024
6	600	600	600	600	600	600	600	1024
7	700	700	700	700	700	700	700	1024
8	800	800	800	800	800	800	800	1024
9	900	900	900	900	900	900	900	1024
10	1000	1000	1000	1000	1000	1000	1000	1024
11	1100	1100	1100	1100	1100	1100	1100	1024
12	1200	1200	1200	1200	1200	1200	1200	1024
13	1300	1300	1300	1300	1300	1300	1300	1024
14	1400	1400	1400	1400	1400	1400	1400	1024
15	1500	1500	1500	1500	1500	1500	1500	1024
16	1600	1600	1600	1600	1600	1600	1600	1024
17	1700	1700	1700	1700	1700	1700	1700	1024
18	1800	1800	1800	1800	1800	1800	1800	1024
19	1900	1900	1900	1900	1900	1900	1900	1024
20	2000	2000	2000	2000	2000	2000	2000	1024
21	2100	2100	2100	2100	2100	2100	2100	1024
22	2200	2200	2200	2200	2200	2200	2200	1024
23	2300	2300	2300	2300	2300	2300	2300	1024
24	2400	2400	2400	2400	2400	2400	2400	1024
25	2500	2500	2500	2500	2500	2500	2500	1024
26	2600	2600	2600	2600	2600	2600	2600	1024
27	2700	2700	2700	2700	2700	2700	2700	1024
28	2800	2800	2800	2800	2800	2800	2800	1024
29	2900	2900	2900	2900	2900	2900	2900	1024
30	3000	3000	3000	3000	3000	3000	3000	1024
31	3100	3100	3100	3100	3100	3100	3100	1024
32	3200	3200	3200	3200	3200	3200	3200	1024
33	3300	3300	3300	3300	3300	3300	3300	1024
34	3400	3400	3400	3400	3400	3400	3400	1024
35	3500	3500	3500	3500	3500	3500	3500	1024
36	3600	3600	3600	3600	3600	3600	3600	1024
37	3700	3700	3700	3700	3700	3700	3700	1024
38	3800	3800	3800	3800	3800	3800	3800	1024
39	3900	3900	3900	3900	3900	3900	3900	1024
40	4000	4000	4000	4000	4000	4000	4000	1024
41	4100	4100	4100	4100	4100	4100	4100	1024
42	4200	4200	4200	4200	4200	4200	4200	1024
43	4300	4300	4300	4300	4300	4300	4300	1024
44	4400	4400	4400	4400	4400	4400	4400	1024
45	4500	4500	4500	4500	4500	4500	4500	1024
46	4600	4600	4600	4600	4600	4600	4600	1024
47	4700	4700	4700	4700	4700	4700	4700	1024
48	4800	4800	4800	4800	4800	4800	4800	1024
49	4900	4900	4900	4900	4900	4900	4900	1024
50	5000	5000	5000	5000	5000	5000	5000	1024
51	5100	5100	5100	5100	5100	5100	5100	1024
52	5200	5200	5200	5200	5200	5200	5200	1024
53	5300	5300	5300	5300	5300	5300	5300	1024
54	5400	5400	5400	5400	5400	5400	5400	1024
55	5500	5500	5500	5500	5500	5500	5500	1024
56	5600	5600	5600	5600	5600	5600	5600	1024
57	5700	5700	5700	5700	5700	5700	5700	1024
58	5800	5800	5800	5800	5800	5800	5800	1024
59	5900	5900	5900	5900	5900	5900	5900	1024
60	6000	6000	6000	6000	6000	6000	6000	1024
61	6100	6100	6100	6100	6100	6100	6100	1024
62	6200	6200	6200	6200	6200	6200	6200	1024
63	6300	6300	6300	6300	6300	6300	6300	1024
64	6400	6400	6400	6400	6400	6400	6400	1024
65	6500	6500	6500	6500	6500	6500	6500	1024
66	6600	6600	6600	6600	6600	6600	6600	1024
67	6700	6700	6700	6700	6700	6700	6700	1024
68	6800	6800	6800	6800	6800	6800	6800	1024
69	6900	6900	6900	6900	6900	6900	6900	1024
70	7000	7000	7000	7000	7000	7000	7000	1024
71	7100	7100	7100	7100	7100	7100	7100	1024
72	7200	7200	7200	7200	7200	7200	7200	1024
73	7300	7300	7300	7300	7300	7300	7300	1024
74	7400	7400	7400	7400	7400	7400	7400	1024
75	7500	7500	7500	7500	7500	7500	7500	1024
76	7600	7600	7600	7600	7600	7600	7600	1024
77	7700	7700	7700	7700	7700	7700	7700	1024
78	7800	7800	7800	7800	7800	7800	7800	1024
79	7900	7900	7900	7900	7900	7900	7900	1024
80	8000	8000	8000	8000	8000	8000	8000	1024
81	8100	8100	8100	8100	8100	8100	8100	1024
82	8200	8200	8200	8200	8200	8200	8200	1024
83	8300	8300	8300	8300	8300	8300	8300	1024
84	8400	8400	8400	8400	8400	8400	8400	1024
85	8500	8500	8500	8500	8500	8500	8500	1024
86	8600	8600	8600	8600	8600	8600	8600	1024
87	8700	8700	8700	8700	8700	8700	8700	1024
88	8800	8800	8800	8800	8800	8800	8800	1024
89	8900	8900	8900	8900	8900	8900	8900	1024
90	9000	9000	9000	9000	9000	9000	9000	1024
91	9100	9100	9100	9100	9100	9100	9100	1024
92	9200	9200	9200	9200	9200	9200	9200	1024
93	9300	9300	9300	9300	9300	9300	9300	1024
94	9400	9400	9400	9400	9400	9400	9400	1024
95	9500	9500	9500	9500	9500	9500	9500	1024
96	9600	9600	9600	9600	9600	9600	9600	1024
97	9700	9700	9700	9700	9700	9700	9700	1024
98	9800	9800	9800	9800	9800	9800	9800	1024
99	9900	9900	9900	9900	9900	9900	9900	1024
